title,year,certificate,runtime,genre,rating,metascore
The Sting,(1973),PG,129 min,"Comedy, Crime, Drama ",8.3,83
A Clockwork Orange,(1971),R,136 min,"Crime, Drama, Sci-Fi ",8.3,77
2001: A Space Odyssey,(1968),G,149 min,"Adventure, Sci-Fi ",8.3,84
For a Few Dollars More,(1965),R,132 min,Western ,8.3,74
Lawrence of Arabia,(1962),Approved,228 min,"Adventure, Biography, Drama ",8.3,100
The Apartment,(1960),Approved,125 min,"Comedy, Drama, Romance ",8.3,94
North by Northwest,(1959),Approved,136 min,"Adventure, Mystery, Thriller ",8.3,98
Vertigo,(1958),PG,128 min,"Mystery, Romance, Thriller ",8.3,100
Singin' in the Rain,(1952),G,103 min,"Comedy, Musical, Romance ",8.3,99
Ikiru,(1952),Not Rated,143 min,Drama ,8.3,
Bicycle Thieves,(1948),Not Rated,89 min,Drama ,8.3,
Double Indemnity,(1944),Passed,107 min,"Crime, Drama, Film-Noir ",8.3,95
Citizen Kane,(1941),PG,119 min,"Drama, Mystery ",8.3,100
M,(1931),Passed,99 min,"Crime, Mystery, Thriller ",8.3,
Metropolis,(1927),Not Rated,153 min,"Drama, Sci-Fi ",8.3,98
The Kid,(1921),Passed,68 min,"Comedy, Drama, Family ",8.3,
Chhichhore,(2019),13+,143 min,"Comedy, Drama ",8.2,
K.G.F: Chapter 1,(2018),Not Rated,156 min,"Action, Drama ",8.2,
Green Book,(2018),PG-13,130 min,"Biography, Comedy, Drama ",8.2,69
"Three Billboards Outside Ebbing, Missouri",(2017),R,115 min,"Comedy, Crime, Drama ",8.2,88
Talvar,(2015),Not Rated,132 min,"Crime, Drama, Mystery ",8.2,
Baahubali 2: The Conclusion,(2017),Not Rated,167 min,"Action, Drama ",8.2,
Klaus,(2019),PG,96 min,"Animation, Adventure, Comedy ",8.2,65
Drishyam,(2015),Not Rated,163 min,"Crime, Drama, Mystery ",8.2,
Queen,(2013),Not Rated,146 min,"Adventure, Comedy, Drama ",8.2,
Tangerines,(2013),Not Rated,87 min,"Drama, War ",8.2,73
Bhaag Milkha Bhaag,(2013),Not Rated,186 min,"Biography, Drama, Sport ",8.2,
Gangs of Wasseypur,(2012),R,321 min,"Action, Crime, Drama ",8.2,89
Udaan,(2010),Not Rated,134 min,Drama ,8.2,
Paan Singh Tomar,(2012),Not Rated,135 min,"Action, Biography, Crime ",8.2,
The Secret in Their Eyes,(2009),R,129 min,"Drama, Mystery, Romance ",8.2,80
Warrior,(2011),PG-13,140 min,"Action, Drama, Sport ",8.2,71
Shutter Island,(2010),R,138 min,"Mystery, Thriller ",8.2,63
Up,(2009),PG,96 min,"Animation, Adventure, Comedy ",8.2,88
